路段ID,路段长度(m),所属连通分量,风险扩散分数,是否为案发点所在分量,风险扩散分数(全网排序)
51,228.1,18,0.06741573033707865,True,1
521,492.5,139,0.036876859228502895,True,2
515,95.8,139,0.034174270995433124,True,3
1291,327.8,305,0.033642729953828006,True,4
516,96.4,139,0.03007245605015222,True,5
689,720.0,2,0.026179681741155356,True,6
1285,30.0,303,0.02263564524559721,True,7
548,902.8,148,0.02247191011235955,True,8
1257,271.7,293,0.02247191011235955,True,8
589,133.2,151,0.022471902522302946,True,10
590,108.2,151,0.022471902522302946,True,10
421,3948.9,112,0.02021495965236201,True,12
503,77.4,2,0.01641315585126344,True,13
1288,153.8,305,0.015292827232507442,True,14
1289,53.6,305,0.015250778081084824,True,15
1290,126.8,305,0.014932431945388246,True,16
535,2010.1,133,0.0144812499750014,True,17
685,98.6,2,0.012475996133096651,True,18
688,99.3,2,0.01244622573307191,True,19
420,3948.3,112,0.012055547767893887,True,20
687,145.3,2,0.011970922392703292,True,21
534,2497.5,144,0.01123595742807376,True,22
1063,539.9,144,0.01123595742807376,True,22
390,2290.3,107,0.011235955056179775,True,25
1172,273.3,280,0.011235955056179775,True,25
383,2256.5,103,0.011235955056179775,True,25
1064,319.6,263,0.011235955056179775,True,25
1283,139.4,303,0.011202146456597286,True,28
1284,46.6,303,0.011106028450980375,True,29
708,363.3,2,0.010970390304620239,True,30
1292,111.1,305,0.010768888554331064,True,31
675,408.3,2,0.01022269516222296,True,32
502,78.9,2,0.007225849185474301,True,33
422,2398.7,109,0.007009629809700217,True,34
506,324.1,137,0.006737203807568948,True,35
395,606.9,109,0.006378154103973866,True,36
716,284.4,2,0.006377582509399294,True,37
409,245.8,112,0.0063366523396723275,True,38
408,246.7,112,0.006336652339672327,True,39
715,569.2,2,0.006324621962544283,True,40
816,1705.3,197,0.0062922978062298135,True,41
115,1507.0,2,0.0062373417317789425,True,42
609,150.2,71,0.005398233759773497,True,43
735,889.4,2,0.005323594831429479,True,44
734,894.1,2,0.005292001400215519,True,45
485,421.5,127,0.0051509006914363265,True,46
714,579.4,2,0.0050778004198587185,True,47
1230,354.3,2,0.004972836284628001,True,48
508,207.7,138,0.004734086656694488,True,49
418,2743.6,2,0.004690872553311691,True,50
542,1154.7,71,0.004664077849264934,True,51
519,134.5,138,0.0046215900205557195,True,52
505,317.4,137,0.004498747453582525,True,53
848,40.2,212,0.004479028551764934,True,54
396,605.7,109,0.0043841967691916305,True,55
497,76.2,134,0.004333927095399841,True,56
432,121.5,2,0.0043288735941806895,True,57
533,2879.9,2,0.004215600935574444,True,58
425,3904.0,2,0.004125435531028976,True,59
405,2682.0,2,0.004091451419389186,True,60
484,124.0,133,0.003995332957264591,True,61
483,123.8,133,0.003995332957264591,True,61
694,209.1,2,0.003882357775943702,True,63
706,82.9,2,0.003863114938840525,True,64
489,93.5,134,0.0036804822291647468,True,65
442,3104.0,2,0.003664869742817855,True,66
441,3109.4,2,0.003664869742817855,True,66
524,115.6,140,0.0036450194031426835,True,68
440,1770.0,2,0.0036222031096152896,True,69
429,337.4,2,0.00311100396057562,True,70
583,1118.4,2,0.002860982991025115,True,71
518,104.2,138,0.0028253237811557076,True,72
419,2749.1,2,0.0028132585503923254,True,73
434,130.5,2,0.002797761719235656,True,74
433,130.5,2,0.0027876163187268766,True,75
520,76.6,138,0.00273598801928537,True,76
512,150.2,138,0.00273550573688195,True,77
676,563.3,2,0.0025637372664429514,True,78
431,121.5,2,0.0025356100960352026,True,79
948,41.3,134,0.0025274335758731555,True,80
545,1376.1,71,0.0025028054486656037,True,81
486,153.9,127,0.0023754761771770374,True,82
393,336.1,109,0.0023529171629044113,True,83
394,336.8,109,0.0023470155275521092,True,84
488,74.7,134,0.0023197824854496686,True,85
1223,323.9,2,0.0023069407761509573,True,86
